Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
SimCoaster,29/1/2001,Bullfrog Productions,EA Games,Tycoon,Rated E For Everyone,5.2,6,PC,75,Based on 15 Critic Reviews
Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,30/10/2009,Telltale Games,Telltale Games,Third-Person Adventure,Rated E +10 For Everyone +10,6.9,30,"Wii, PC","84, 80","Based on 6 Critic Reviews, Based on 28 Critic Reviews"
Ys Origin,1/10/2020,Falcom,DotEmu,Action RPG,Rated T For Teen,7.9,34,"PC, PlayStation 4, Xbox One, Nintendo Switch","76, 77, 81, 82","Based on 7 Critic Reviews, Based on 18 Critic Reviews, Based on 14 Critic Reviews, Based on 27 Critic Reviews"
The Godfather II,7/4/2009,EA Redwood Shores,Electronic Arts,Open-World Action,Rated M For Mature,6.8,45,"Xbox 360, PC, PlayStation 3","65, 63, 67","Based on 72 Critic Reviews, Based on 29 Critic Reviews, Based on 53 Critic Reviews"
Oddworld: Munch's Oddysee HD,14/5/2020,Square One Games,Oddworld Inhabitants,Action Adventure,Rated T For Teen,7.4,9,"PlayStation 3, PlayStation Vita, Nintendo Switch","tbd, 72, 58","Based on 3 Critic Reviews, Based on 8 Critic Reviews, Based on 25 Critic Reviews"
Gunman Clive,3/1/2013,Horberg Productions,Horberg Productions,2D Platformer,Rated E +10 For Everyone +10,7.8,105,"3DS, iOS (iPhone/iPad), PC","82, 81, tbd","Based on 10 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review"
Nevermind,11/1/2017,Flying Mollusk,Flying Mollusk,First-Person Adventure,Rated M For Mature,6.3,7,"PC, Xbox One","tbd, 65","Based on 2 Critic Reviews, Based on 7 Critic Reviews"
Sam & Max Episode 102: Situation: Comedy,20/12/2006,Telltale Games,GameTap,Point-and-Click,Rated T For Teen,7.3,16,PC,79,Based on 36 Critic Reviews
Ten Dates,14/2/2023,Wales Interactive,Wales Interactive,Adventure,Not Rated,6,5,"PC, Nintendo Switch, Xbox One, Xbox Series X, PlayStation 5, PlayStation 4, iOS (iPhone/iPad)","73, 75, tbd, tbd, 80, tbd, tbd","Based on 8 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review, Based on 3 Critic Reviews, Based on 4 Critic Reviews, Based on 2 Critic Reviews, Based on 2 Critic Reviews"
Sudden Strike 4,11/8/2017,Kite Games,Kalypso,Real-Time Strategy,Rated T For Teen,7.6,75,"PC, PlayStation 4","70, 63","Based on 16 Critic Reviews, Based on 12 Critic Reviews"
Laika: Aged Through Blood,19/10/2023,Brainwash Gang,Headup Games,Metroidvania,Not Rated,8.2,23,"PC, PlayStation 5, Xbox Series X","84, tbd, tbd","Based on 14 Critic Reviews, Based on 2 Critic Reviews, Based on 3 Critic Reviews"
Damsel,7/8/2019,Screwtape Studios,Screwtape Studios,2D Platformer,Rated E +10 For Everyone +10,4.4,5,"PC, Xbox One, Nintendo Switch, PlayStation 4","65, 66, 64, tbd","Based on 5 Critic Reviews, Based on 9 Critic Reviews, Based on 5 Critic Reviews, Based on 2 Critic Reviews"
Manticore: Galaxy on Fire,19/4/2018,Deep Silver,Koch Media,Space Combat Sim,Rated T For Teen,6.5,21,"iOS (iPhone/iPad), Nintendo Switch","73, 69","Based on 7 Critic Reviews, Based on 20 Critic Reviews"
Outer Wilds,28/5/2019,"Mobius Digital, LLC",Annapurna Interactive,Open-World Action,Rated E +10 For Everyone +10,8.7,925,"PC, Xbox One, PlayStation 4, PlayStation 5, Nintendo Switch","85, 85, 82, tbd, 82","Based on 33 Critic Reviews, Based on 18 Critic Reviews, Based on 9 Critic Reviews, Based on 1 Critic Review, Based on 6 Critic Reviews"
F1 World Grand Prix: 1999 Season,1/7/2000,Video System,Eidos Interactive,Auto Racing Sim,Rated E For Everyone,7.4,11,PC,71,Based on 10 Critic Reviews
Gods Will Fall,28/1/2021,Clever Beans,Deep Silver,Open-World Action,Not Rated,5.5,11,"PC, Nintendo Switch, Xbox One, PlayStation 4","70, 59, 70, 63","Based on 16 Critic Reviews, Based on 10 Critic Reviews, Based on 13 Critic Reviews, Based on 25 Critic Reviews"
Epistory - Typing Chronicles,30/3/2016,Fishing Cactus,Fishing Cactus,Action Adventure,Not Rated,7.6,57,"PC, Nintendo Switch","74, 61","Based on 17 Critic Reviews, Based on 4 Critic Reviews"
Sniper Ghost Warrior Contracts 2,4/6/2021,CI Games,CI Games,Tactical FPS,Rated M For Mature,7.4,90,"PC, PlayStation 4, Xbox One, Xbox Series X, PlayStation 5","73, 68, tbd, 74, 81","Based on 24 Critic Reviews, Based on 21 Critic Reviews, Based on 2 Critic Reviews, Based on 10 Critic Reviews, Based on 6 Critic Reviews"
Sonic the Hedgehog (2006),14/11/2006,Sonic Team,Sega,3D Platformer,Rated E +10 For Everyone +10,5.3,860,"Xbox 360, PlayStation 3","46, 43","Based on 38 Critic Reviews, Based on 17 Critic Reviews"
Ghost of Tsushima: Iki Island,20/8/2021,Sucker Punch,PlayStation Studios,Open-World Action,Not Rated,8,541,"PlayStation 5, PlayStation 4","84, tbd","Based on 10 Critic Reviews, Based on 1 Critic Review"
Nostalgia (2009),23/10/2009,Matrix Software,Ignition Entertainment,JRPG,Rated E +10 For Everyone +10,6.6,8,DS,72,Based on 36 Critic Reviews
Flick Soccer!,11/8/2011,Full Fat,Full Fat,Soccer,Not Rated,6.894852313,,iOS (iPhone/iPad),84,Based on 8 Critic Reviews
Lara Croft Tomb Raider: The Angel of Darkness,20/6/2003,Core Design Ltd.,Eidos Interactive,Action Adventure,Rated T For Teen,6.9,97,"PlayStation 2, PC","52, 49","Based on 37 Critic Reviews, Based on 18 Critic Reviews"
Critter Crunch,8/10/2009,Player X,Capy Games,Puzzle,Rated E For Everyone,6.3,25,PlayStation 3,87,Based on 22 Critic Reviews
Echo Night Beyond,27/7/2004,From Software,Agetec,Survival,Rated T For Teen,8.1,14,PlayStation 2,60,Based on 22 Critic Reviews
Reverie Knights Tactics,25/1/2022,40 Giants Entertainment,1C Entertainment,Turn-Based Tactics,Rated T For Teen,6.894852313,,"Nintendo Switch, PC, PlayStation 4, Xbox One","70, 63, 68, 72","Based on 5 Critic Reviews, Based on 7 Critic Reviews, Based on 7 Critic Reviews, Based on 7 Critic Reviews"
Hard Reset,13/9/2011,Flying Wild Hog,Flying Wild Hog,FPS,Rated M For Mature,7.3,374,PC,73,Based on 49 Critic Reviews
Minecraft Legends,18/4/2023,Mojang AB,Xbox Game Studios,Real-Time Strategy,Rated E +10 For Everyone +10,6.2,109,"Xbox Series X, PC, Xbox One, Nintendo Switch, PlayStation 5","71, 65, tbd, tbd, tbd","Based on 65 Critic Reviews, Based on 36 Critic Reviews, Based on 1 Critic Review, Based on 2 Critic Reviews, Based on 2 Critic Reviews"
Pac-Man Championship Edition 2,13/9/2016,Bandai Namco Games,Bandai Namco Games,Arcade,Rated E For Everyone,7.3,45,"PC, PlayStation 4, Xbox One","78, 77, 77","Based on 19 Critic Reviews, Based on 26 Critic Reviews, Based on 10 Critic Reviews"
Kirby Fighters 2,23/9/2020,HAL Labs,Nintendo,2D Fighting,Rated E For Everyone,8,37,Nintendo Switch,65,Based on 39 Critic Reviews
Rocket Riot,17/6/2009,Codeglue,THQ,Action,Rated E For Everyone,4.4,5,"Xbox 360, PC","80, tbd","Based on 32 Critic Reviews, Based on 2 Critic Reviews"
Red Dead Redemption,18/5/2010,Rockstar San Diego,Rockstar Games,Open-World Action,Rated M For Mature,9,3055,"Xbox 360, PlayStation 3","95, 95","Based on 96 Critic Reviews, Based on 73 Critic Reviews"
WWE SmackDown vs. Raw 2011,26/10/2010,Yuke's,THQ,Wrestling,Rated T For Teen,7.7,67,"Xbox 360, PlayStation 3, Wii, PSP, PlayStation 2","75, 74, 72, tbd, tbd","Based on 49 Critic Reviews, Based on 42 Critic Reviews, Based on 7 Critic Reviews, Based on 2 Critic Reviews, Based on 1 Critic Review"
Super Lemonade Factory,14/3/2012,Shane Brouwer,Shane Brouwer,2D Platformer,Not Rated,6.894852313,,iOS (iPhone/iPad),74,Based on 7 Critic Reviews
Genshin Impact,28/9/2020,miHoYo,miHoYo,Action RPG,Rated T For Teen,4.7,1469,"PlayStation 4, iOS (iPhone/iPad), PC, PlayStation 5","81, 82, 84, 86","Based on 26 Critic Reviews, Based on 6 Critic Reviews, Based on 24 Critic Reviews, Based on 4 Critic Reviews"
Let's Build a Zoo,29/9/2022,Merge Games,No More Robots,Tycoon,Rated E +10 For Everyone +10,6.9,8,"PC, Xbox Series X, Nintendo Switch, PlayStation 5","78, tbd, 74, 83","Based on 8 Critic Reviews, Based on 3 Critic Reviews, Based on 9 Critic Reviews, Based on 5 Critic Reviews"
NHL 2K7,12/9/2006,Kush Games,2K Sports,Hockey Sim,Rated E +10 For Everyone +10,6.894852313,,"Xbox 360, PlayStation 2, PlayStation 3, Xbox","78, 73, 79, 78","Based on 51 Critic Reviews, Based on 12 Critic Reviews, Based on 24 Critic Reviews, Based on 8 Critic Reviews"
Wii Play: Motion,13/6/2011,Good-Feel,Nintendo,Party,Rated E +10 For Everyone +10,6.5,28,Wii,60,Based on 34 Critic Reviews
Age of Zombies,25/2/2010,Halfbrick Studios,Halfbrick Studios,Survival,Rated T For Teen,6.4,10,"iOS (iPhone/iPad), PSP, PlayStation Vita","81, 79, 74","Based on 9 Critic Reviews, Based on 11 Critic Reviews, Based on 4 Critic Reviews"
Farm Heroes Saga,2/1/2014,King.com,King.com,Matching Puzzle,Not Rated,1.6,8,iOS (iPhone/iPad),70,Based on 9 Critic Reviews
Republique: Episode 3 - Ones and Zeroes,20/10/2014,"Camouflaj, LLC","Camouflaj, LLC",Linear Action Adventure,Not Rated,7.6,5,iOS (iPhone/iPad),75,Based on 11 Critic Reviews
Fallout: New Vegas - Lonesome Road,20/9/2011,Obsidian Entertainment,Bethesda Softworks,Western RPG,Rated M For Mature,7.8,67,"PlayStation 3, Xbox 360, PC","62, 63, 57","Based on 7 Critic Reviews, Based on 16 Critic Reviews, Based on 6 Critic Reviews"
"Warhammer 40,000: Mechanicus",15/11/2018,Bulwark Studios,Kasedo Games,Turn-Based Tactics,Not Rated,8.1,102,"PC, PlayStation 4, Xbox One, Nintendo Switch","78, 67, 79, 72","Based on 20 Critic Reviews, Based on 14 Critic Reviews, Based on 6 Critic Reviews, Based on 8 Critic Reviews"
Streets of Rage 2,23/7/2015,M2,Sega,2D Beat-'Em-Up,Rated E +10 For Everyone +10,7.9,62,"3DS, Xbox 360, iOS (iPhone/iPad)","89, 76, 71","Based on 15 Critic Reviews, Based on 12 Critic Reviews, Based on 5 Critic Reviews"
Life is Strange: True Colors - Wavelengths,30/9/2021,Deck Nine Games,Square Enix,Action Adventure,Not Rated,6.6,39,"PC, PlayStation 5, Xbox Series X, PlayStation 4","tbd, 79, tbd, tbd","Based on 2 Critic Reviews, Based on 8 Critic Reviews, Based on 3 Critic Reviews, Based on 1 Critic Review"
Dragon Ball: Raging Blast,10/11/2009,Spike,Namco Bandai Games,3D Fighting,Rated T For Teen,6.8,31,"PlayStation 3, Xbox 360","57, 56","Based on 26 Critic Reviews, Based on 29 Critic Reviews"
Crash Bandicoot: Warped,3/11/1998,Naughty Dog,SCEA,3D Platformer,Rated E For Everyone,9,860,PlayStation,91,Based on 12 Critic Reviews
Orwell's Animal Farm,10/12/2020,Nerial,Indie Collective,Adventure,Not Rated,5.3,6,"PC, iOS (iPhone/iPad)","65, tbd","Based on 21 Critic Reviews, Based on 3 Critic Reviews"
Final Fantasy XIV: Stormblood,20/6/2017,Square Enix,Square Enix,MMORPG,Rated T For Teen,9,1014,"PlayStation 4, PC","89, 87","Based on 16 Critic Reviews, Based on 23 Critic Reviews"
The Raven: Legacy of a Master Thief - A Murder of Ravens,24/9/2013,KING Art,The Adventure Company,Point-and-Click,Not Rated,4.5,15,"Xbox 360, PC","tbd, 65","Based on 3 Critic Reviews, Based on 12 Critic Reviews"
Castlevania (1998),31/12/1998,KCEK,Konami,3D Platformer,Rated T For Teen,7.3,67,Nintendo 64,78,Based on 15 Critic Reviews
Mega Man Zero Collection,8/6/2010,Inti Creates,Capcom,Compilation,Rated E For Everyone,8.3,77,DS,78,Based on 15 Critic Reviews
Rise of Industry,2/5/2019,Dapper Penguin Studios,Kasedo Games,Tycoon,Not Rated,6.8,16,PC,62,Based on 13 Critic Reviews
Insurgency,22/1/2014,New World Interactive,New World Interactive,Tactical FPS,Not Rated,8.5,647,PC,74,Based on 24 Critic Reviews
Johnny Kung Fu,12/7/2012,UFO Interactive,UFO Interactive,Action,Rated E +10 For Everyone +10,4.9,9,3DS,44,Based on 7 Critic Reviews
Bulb Boy,6/7/2017,Bulbware,Bulbware,Point-and-Click,Rated T For Teen,7.3,48,"PC, iOS (iPhone/iPad), Nintendo Switch, Xbox One","84, tbd, 75, tbd","Based on 5 Critic Reviews, Based on 1 Critic Review, Based on 13 Critic Reviews, Based on 2 Critic Reviews"
Comet Crash,2/4/2009,Pelfast,Pelfast,Strategy,Rated E For Everyone,6.8,17,PlayStation 3,83,Based on 16 Critic Reviews
GUNS UP!,5/12/2015,Valkyrie Entertainment,SCEA,Real-Time Strategy,Rated T For Teen,6.2,57,PlayStation 4,54,Based on 13 Critic Reviews
Space Empires IV,7/11/2000,Malfador Machinations,Shrapnel Games,4X Strategy,Rated E For Everyone,6.1,17,PC,79,Based on 13 Critic Reviews
Assassin's Creed Syndicate: Jack the Ripper,15/12/2015,Ubisoft Quebec,Ubisoft,Open-World Action,Rated M For Mature,7.1,84,"PlayStation 4, Xbox One","72, 77","Based on 11 Critic Reviews, Based on 6 Critic Reviews"
Wreckateer,25/7/2012,Iron Galaxy Studios,Microsoft Game Studios,Action,Rated E +10 For Everyone +10,5.8,17,Xbox 360,67,Based on 46 Critic Reviews
Kitaria Fables,2/9/2021,Twin Hearts,PQube,Action RPG,Rated E +10 For Everyone +10,6.6,10,"Nintendo Switch, Xbox Series X, PC, PlayStation 5","69, tbd, tbd, 69","Based on 10 Critic Reviews, Based on 4 Critic Reviews, Based on 3 Critic Reviews, Based on 6 Critic Reviews"
Psychonauts,20/4/2005,Double Fine Productions,Majesco,3D Platformer,Rated T For Teen,7.9,97,"Xbox, PC, PlayStation 2, PlayStation 4","88, 87, 86, tbd","Based on 54 Critic Reviews, Based on 29 Critic Reviews, Based on 33 Critic Reviews, Based on 1 Critic Review"
Crash Bandicoot: The Huge Adventure,25/2/2002,Vicarious Visions,Universal Interactive,2D Platformer,Rated E For Everyone,8,87,Game Boy Advance,78,Based on 18 Critic Reviews
Go! Go! Hypergrind,18/11/2003,Poponchi,Atlus,Skating,Rated T For Teen,6.5,,GameCube,67,Based on 9 Critic Reviews
Skyshine's Bedlam,16/9/2015,Skyshine Games,Skyshine Games,Turn-Based Strategy,Not Rated,5,39,PC,67,Based on 26 Critic Reviews
Blitzkrieg 2,2/10/2005,Nival Interactive,cdv Software,Real-Time Tactics,Rated T For Teen,7.1,39,PC,75,Based on 25 Critic Reviews
Backyard Wrestling 2: There Goes the Neighborhood,16/11/2004,Paradox Development,Eidos Interactive,Wrestling,Rated M For Mature,5.5,8,"Xbox, PlayStation 2","43, 46","Based on 17 Critic Reviews, Based on 23 Critic Reviews"
Those Who Remain,28/5/2020,Camel 101,Camel 101,First-Person Adventure,Rated M For Mature,6.4,44,"PC, PlayStation 4, Xbox One, Nintendo Switch","48, 49, 59, tbd","Based on 10 Critic Reviews, Based on 28 Critic Reviews, Based on 10 Critic Reviews, Based on 1 Critic Review"
Order of Battle: Pacific,30/4/2015,The Artistocrats,Slitherine,4X Strategy,Not Rated,5.7,44,PC,81,Based on 12 Critic Reviews
Viviette,20/12/2018,DYA Games,DYA Games,Adventure,Rated T For Teen,7,10,Nintendo Switch,58,Based on 8 Critic Reviews
Out There: Oceans of Time,26/5/2022,Mi-Clos Studio,Modern Wolf,Strategy,Not Rated,5,,PC,57,Based on 11 Critic Reviews
Outlast: Bundle of Terror,27/2/2018,Red Barrels,Red Barrels,Survival,Rated M For Mature,8.4,53,Nintendo Switch,77,Based on 14 Critic Reviews
The Sims 4: For Rent,7/12/2023,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,3.4,5,PC,67,Based on 9 Critic Reviews
Mario vs. Donkey Kong: Mini-Land Mayhem,14/11/2010,Nintendo Software Technology,Nintendo,2D Platformer,Rated E For Everyone,8,30,DS,79,Based on 51 Critic Reviews
Quest for Infamy,10/7/2014,Infamous Quests,Phoenix Online Publishing,Point-and-Click,Not Rated,7.6,38,"PC, Nintendo Switch, Xbox Series X, PlayStation 4, PlayStation 5","63, tbd, tbd, tbd, tbd","Based on 9 Critic Reviews, Based on 2 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review, Based on 2 Critic Reviews"
Wipeout: Omega Collection,6/6/2017,Sony Interactive Entertainment,Sony Interactive Entertainment,Future Racing,Rated E +10 For Everyone +10,8,334,PlayStation 4,85,Based on 55 Critic Reviews
Fairytale Fights,27/10/2009,Playlogic,Playlogic,3D Platformer,Rated M For Mature,5.6,12,"PC, Xbox 360, PlayStation 3","tbd, 51, 53","Based on 1 Critic Review, Based on 47 Critic Reviews, Based on 34 Critic Reviews"
Kandagawa Jet Girls,18/8/2020,Honey Parade Games,XSEED Games,Arcade Racing,Rated T For Teen,6.2,17,"PlayStation 4, PC","60, tbd","Based on 18 Critic Reviews, Based on 2 Critic Reviews"
Mystery Case Files: The Malgrave Incident,29/6/2011,Sanzaru Games,Nintendo,Hidden Object,Rated E For Everyone,7.4,7,Wii,65,Based on 26 Critic Reviews
Praetorians HD Remaster,24/1/2020,Torus Games,Kalypso,Real-Time Strategy,Not Rated,7.3,16,"PlayStation 4, PC","55, 56","Based on 4 Critic Reviews, Based on 8 Critic Reviews"
Arc Rise Fantasia,27/7/2010,Imageepoch,Ignition Entertainment,JRPG,Rated T For Teen,8.3,46,Wii,64,Based on 26 Critic Reviews
Battleheart Legacy,28/5/2014,"Mika Mobile, Inc.","Mika Mobile, Inc.",Action RPG,Not Rated,6.5,37,iOS (iPhone/iPad),88,Based on 12 Critic Reviews
Back to the Future: The Game - Episode III: Citizen Brown,28/3/2011,Telltale Games,Telltale Games,Third-Person Adventure,Rated E For Everyone,6,36,"iOS (iPhone/iPad), PC, PlayStation 3","74, 71, 76","Based on 5 Critic Reviews, Based on 23 Critic Reviews, Based on 4 Critic Reviews"
Nintendogs + Cats: Golden Retriever & New Friends,27/3/2011,Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,7.2,53,3DS,71,Based on 42 Critic Reviews
Rock Manager,30/6/2002,DreamCatcher Interactive,DreamCatcher Interactive,Tycoon,Rated M For Mature,5.3,7,PC,62,Based on 10 Critic Reviews
DUST 514,14/5/2013,CCP,CCP,FPS,Rated T For Teen,6.1,225,PlayStation 3,59,Based on 31 Critic Reviews
Disgaea 5: Alliance of Vengeance,6/10/2015,Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,8.2,216,"Nintendo Switch, PlayStation 4","81, 80","Based on 33 Critic Reviews, Based on 43 Critic Reviews"
Crash Bandicoot N. Sane Trilogy,30/6/2017,Vicarious Visions,Activision,Compilation,Rated E +10 For Everyone +10,8.4,1498,"PlayStation 4, Nintendo Switch, PC, Xbox One","80, 78, 76, 79","Based on 87 Critic Reviews, Based on 40 Critic Reviews, Based on 9 Critic Reviews, Based on 15 Critic Reviews"
The Collider 2,19/4/2016,Shortbreak Studios,Shortbreak Studios,Arcade,Not Rated,6.894852313,,PC,70,Based on 17 Critic Reviews
Asura's Wrath,21/2/2012,CyberConnect2,Capcom,Action Adventure,Rated T For Teen,6.8,181,"Xbox 360, PlayStation 3","71, 71","Based on 54 Critic Reviews, Based on 39 Critic Reviews"
Double Dragon II: Wander of the Dragons,5/4/2013,Gravity,CFK,2D Beat-'Em-Up,Rated T For Teen,1.6,60,Xbox 360,17,Based on 19 Critic Reviews
Collision Effect,3/3/2011,Chillingo,Chillingo,Action Puzzle,Not Rated,6.894852313,,iOS (iPhone/iPad),82,Based on 9 Critic Reviews
A Rose in the Twilight,11/4/2017,Nippon Ichi Software,NIS America,2D Platformer,Rated T For Teen,8.4,17,"PlayStation Vita, PC","75, tbd","Based on 18 Critic Reviews, Based on 1 Critic Review"
SimAnimals Africa,27/10/2009,Electronic Arts,Electronic Arts,Virtual Life,Rated E For Everyone,6.894852313,,"Wii, DS","53, tbd","Based on 7 Critic Reviews, Based on 3 Critic Reviews"
NBA 2K13,2/10/2012,Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,7.1,154,"PlayStation 3, PC, Xbox 360, Wii U, iOS (iPhone/iPad)","90, 90, 88, 85, 64","Based on 26 Critic Reviews, Based on 5 Critic Reviews, Based on 41 Critic Reviews, Based on 17 Critic Reviews, Based on 4 Critic Reviews"
XEL,14/7/2022,Tiny Roar,Assemble Entertainment,Open-World Action,Rated T For Teen,5,5,"PC, Xbox Series X, Nintendo Switch, PlayStation 4","46, tbd, 43, tbd","Based on 4 Critic Reviews, Based on 1 Critic Review, Based on 9 Critic Reviews, Based on 1 Critic Review"
Blue Reflection: Second Light,9/11/2021,Gust,Koei Tecmo Games,JRPG,Rated T For Teen,8.6,68,"PlayStation 4, Nintendo Switch, PC","77, 78, 78","Based on 21 Critic Reviews, Based on 15 Critic Reviews, Based on 9 Critic Reviews"
Summon Night 6: Lost Borders,10/10/2017,Media.Vision,GAIJINWORKS,Turn-Based Tactics,Rated T For Teen,7.3,20,"PlayStation Vita, PlayStation 4","tbd, 71","Based on 2 Critic Reviews, Based on 9 Critic Reviews"
Psi-Ops: The Mindgate Conspiracy,14/6/2004,Midway,Midway,Third Person Shooter,Rated M For Mature,6.7,19,"PlayStation 2, Xbox","84, 84","Based on 46 Critic Reviews, Based on 55 Critic Reviews"
Inked: A Tale of Love,27/8/2021,Somnium Games d.o.o.,Pixmain,Adventure,Not Rated,5.8,22,"iOS (iPhone/iPad), PC, Xbox One, PlayStation 4, Nintendo Switch","73, 68, tbd, tbd, 75","Based on 5 Critic Reviews, Based on 16 Critic Reviews, Based on 2 Critic Reviews, Based on 3 Critic Reviews, Based on 5 Critic Reviews"
OlliOlli,21/1/2014,Tom Hegarty,roll7,Skating,Rated E For Everyone,7.8,58,"PlayStation Vita, PlayStation 4, PC, PlayStation 3, Wii U, 3DS, Xbox One","79, tbd, 78, tbd, 80, tbd, 78","Based on 55 Critic Reviews, Based on 2 Critic Reviews, Based on 12 Critic Reviews, Based on 1 Critic Review, Based on 6 Critic Reviews, Based on 3 Critic Reviews, Based on 4 Critic Reviews"
Remnant: From the Ashes,19/8/2019,Gunfire Games,Perfect World Entertainment,Third Person Shooter,Rated M For Mature,6.7,507,"PC, Xbox One, PlayStation 4, Nintendo Switch","78, 81, 77, 70","Based on 45 Critic Reviews, Based on 13 Critic Reviews, Based on 20 Critic Reviews, Based on 15 Critic Reviews"
